nm_entry,std_name,density_g_cm3,,
graphene nanoplatelets,Graphene,2.267,,
graphene nanoribbon,Graphene,,,
silver hexafluoroantimonate,Silver hexafluoroantimonate,4.75,,
Titanium Dioxide,Titanium dioxide,4.23,,
functionalised multi-wall carbon nanotubes,Multi-wall carbon nanotubes,2.6,,
montmorillonite K-10,Montmorillonite,2.35,,
graphite (as received),Graphite,2.266,,
alumina,Aluminium oxide,3.95,,
reactive fluorine polyhedral oligomeric silsesquioxane,Reactive fluorine polyhedral oligomeric silsesquioxane,1.1,,
"Iron (II,III) Oxide","Iron(II,III) oxide",5.17,,
magnesium oxide,Magnesium oxide,3.58,,
Silica,Silicon dioxide,2.65,,
silver,Silver,10.5,,
graphene,Graphene,2.267,,
Ba0.7Sr0.3TiO3,Barium strontium titanate,4.91,,
cellulose nanocrystals,Cellulose,2.6,,
TiO2,Titanium dioxide,4.23,,
carbon black,Carbon black,1.7,,
barium titanate,Barium titanate,6.02,,
graphitic nanoplatelets,Graphite,2.266,,
Zinc Oxide,Zinc oxide,5.61,,
ZnO,Zinc oxide,5.61,,
Montmorillonite,Montmorillonite,2.35,,
aminopropyldimethylethoxysilane,Aminopropyldimethylethoxysilane,0.857,,
titania,Titanium dioxide,4.23,,
Silicon dioxide,Silicon dioxide,2.65,,
barium strontium titanate,Barium strontium titanate,4.91,,
GO,Graphene oxide,1.91,,
graphite,Graphite,2.266,,
nanosilica,Silicon dioxide,2.65,,
calcium copper titanate,Calcium copper titanate,4.7,,
zinc oxide,Zinc oxide,5.61,,
silica,Silicon dioxide,2.65,,
exfoliated graphite nanoplatelets,Graphite,2.266,,
exfoliated graphite, Graphite,,,
Barium Titanate,Barium titanate,6.02,,
zirconium dioxide,Zirconium dioxide,5.68,,
Ag,Silver,10.5,,
SiO2,Silicon dioxide,2.65,,
CaCO3,Calcium carbonate,2.71,,
BaTiO3,Barium titanate,6.02,,
ZrO2,Zirconium dioxide,5.68,,
MgO,Magnesium oxide,3.58,,
Fe3O4,"Iron(II,III) oxide",5.17,,
FeO,"Iron(II,III) oxide",5.17,,
Fe2O3,"Iron(II,III) oxide",5.17,,
Octakis(dimethylsiloxyhexafluoropropylglycidyl ether)silsesquioxane,Octakis(dimethylsiloxyhexafluoropropylglycidyl ether)silsesquioxane,1.09,,
OFG,Octakis(dimethylsiloxyhexafluoropropylglycidyl ether)silsesquioxane,1.09,,
Acetylene black,Carbon black,1.7,,
Channel black,Carbon black,1.7,,
Furnace black,Carbon black,1.7,,
Lamp black,Carbon black,1.7,,
Thermal black,Carbon black,1.7,,
C.I. Pigment Black 6,Carbon black,1.7,,
HAF,Carbon black,1.7,,
SAF,Carbon black,1.7,,
multi-walled CNT,Multi-wall carbon nanotubes,2.6,,
single-walled CNT,Single-wall carbon nanotubes,1.8,,
MWCNT,Multi-wall carbon nanotubes,2.6,,
SWCNT,Single-wall carbon nanotubes,1.8,,
MWNT,Multi-wall carbon nanotubes,2.6,,
SWNT,Single-wall carbon nanotubes,1.8,,
multi-walled CNTs,Multi-wall carbon nanotubes,2.6,,
single-walled CNTs,Single-wall carbon nanotubes,1.8,,
multi-walled carbon nanotube,Multi-wall carbon nanotubes,2.6,,
single-walled carbon nanotube,Single-wall carbon nanotubes,1.8,,
multi-walled carbon nanotubes,Multi-wall carbon nanotubes,2.6,,
single-walled carbon nanotubes,Single-wall carbon nanotubes,1.8,,
dodecylbenzene sulfonic acid,Dodecylbenzenesulfonic acid,1,,
Bentonite clay,Bentonite,2.5,,
MWCNTs,Multi-wall carbon nanotubes,2.6,,
SWCNTs,Single-wall carbon nanotubes,1.8,,
MWNTs,Multi-wall carbon nanotubes,2.6,,
SWNTs,Single-wall carbon nanotubes,1.8,,
Cloisite,Montmorillonite,2.35,,
CaCu3Ti4O12,Calcium copper titanate,4.7,,
CCTO,Calcium copper titanate,4.7,,
CCTO ceramics,Calcium copper titanate,4.7,,
9-anthracenemethanol,9-Anthracenemethanol,1.214,,
C60,Buckminsterfullerene,1.65,,
Fullerene,Buckminsterfullerene,1.65,,
OMLS,Organo-modified layered silicates,1.98,,
rGO,Reduced graphene oxide,1.91,,
PbS,Lead(II) sulfide,7.6,,
Cu(HO3PC6H5)2,Copper(II) phenyl phosphate,1.807,,
CuPP,Copper(II) phenyl phosphate,1.807,,
Copper phenylphosphate,Copper(II) phenyl phosphate,1.807,,
Colloidal silica,Silicon dioxide,2.65,,
Morrocan montmorillonite,Montmorillonite,2.35,,
MMT,Montmorillonite,2.35,,
Molybdenum Disulphide,Molybdenum Disulfide,5.06,,
MoS2,Molybdenum disulfide,5.06,,
fumed silica,Silicon dioxide,2.65,,
silica gel,Silicon dioxide,2.65,,
exfoliated graphene,Graphene,2.267,,
expandable graphite,Graphite,2.266,,
multilayer graphene nanoplatelets,Graphene,2.267,,
OMMT,Montmorillonite,2.35,,
electrospun polyacrylonitrile,Poly(acrylonitrile),1.184,,
electrospun polyvinyl alcohol,Poly(vinyl alcohol),1.21,,
PAN,Poly(acrylonitrile),1.184,,
PVA,Poly(vinyl alcohol),1.21,,
talc,Talcum,2.75,,
TPP,Triphenyl phosphate,1.18,,
White mineral oil,Mineral oil,0.848,,
White spirits,Mineral oil,0.848,,
Paraffin oil,Mineral oil,0.848,,
Paraffinum liquidum,Mineral oil,0.848,,
AuNPs,Gold,19.32,,
Au,Gold,19.32,,
Na2TiO3,Sodium titanate nanotubes,1.1,,
TiNT,Sodium titanate nanotubes,1.1,,
TiNTs,Sodium titanate nanotubes,1.1,,
Titanate nanotubes,Sodium titanate nanotubes,1.1,,
OAPS,Octa(aminophenyl) polyhedral oligomeric silsesquioxane,1.1,,
OAP-POSS,Octa(aminophenyl) polyhedral oligomeric silsesquioxane,1.1,,
